Original_Index,STATIONID,CRUISEID,Loc_date,DECSLAT,DECELAT,DECSLON,DECELON,Latitude,Longitude,DEPTH_SSTA,WIND_SPD,WIND_DIR,MIN_FISH,TOT_LIVE,FIN_CATCH,CRUS_CATCH,OTHR_CATCH,CLD_COVER,SECCHI_DSK,WECOLOR,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,CHLORSURF,CHLORMID,CHLORMAX,OXYSURF,OXYMID,OXYMAX,TURBSURF,TURBMID,TURBMAX,AVW,Rrs_346,Rrs_348,Rrs_351,Rrs_353,Rrs_356,Rrs_358,Rrs_361,Rrs_363,Rrs_366,Rrs_368,Rrs_371,Rrs_373,Rrs_375,Rrs_378,Rrs_380,Rrs_383,Rrs_385,Rrs_388,Rrs_390,Rrs_393,Rrs_395,Rrs_398,Rrs_400,Rrs_403,Rrs_405,Rrs_408,Rrs_410,Rrs_413,Rrs_415,Rrs_418,Rrs_420,Rrs_422,Rrs_425,Rrs_427,Rrs_430,Rrs_432,Rrs_435,Rrs_437,Rrs_440,Rrs_442,Rrs_445,Rrs_447,Rrs_450,Rrs_452,Rrs_455,Rrs_457,Rrs_460,Rrs_462,Rrs_465,Rrs_467,Rrs_470,Rrs_472,Rrs_475,Rrs_477,Rrs_480,Rrs_482,Rrs_485,Rrs_487,Rrs_490,Rrs_492,Rrs_495,Rrs_497,Rrs_500,Rrs_502,Rrs_505,Rrs_507,Rrs_510,Rrs_512,Rrs_515,Rrs_517,Rrs_520,Rrs_522,Rrs_525,Rrs_527,Rrs_530,Rrs_532,Rrs_535,Rrs_537,Rrs_540,Rrs_542,Rrs_545,Rrs_547,Rrs_550,Rrs_553,Rrs_555,Rrs_558,Rrs_560,Rrs_563,Rrs_565,Rrs_568,Rrs_570,Rrs_573,Rrs_575,Rrs_578,Rrs_580,Rrs_583,Rrs_586,Rrs_588,Rrs_613,Rrs_615,Rrs_618,Rrs_620,Rrs_623,Rrs_625,Rrs_627,Rrs_630,Rrs_632,Rrs_635,Rrs_637,Rrs_640,Rrs_641,Rrs_642,Rrs_643,Rrs_645,Rrs_646,Rrs_647,Rrs_648,Rrs_650,Rrs_651,Rrs_652,Rrs_653,Rrs_655,Rrs_656,Rrs_657,Rrs_658,Rrs_660,Rrs_661,Rrs_662,Rrs_663,Rrs_665,Rrs_666,Rrs_667,Rrs_668,Rrs_670,Rrs_671,Rrs_672,Rrs_673,Rrs_675,Rrs_676,Rrs_677,Rrs_678,Rrs_679,Rrs_681,Rrs_682,Rrs_683,Rrs_684,Rrs_686,Rrs_687,Rrs_688,Rrs_689,Rrs_691,Rrs_692,Rrs_693,Rrs_694,Rrs_696,Rrs_697,Rrs_698,Rrs_699,Rrs_701,Rrs_702,Rrs_703,Rrs_704,Rrs_706,Rrs_707,Rrs_708,Rrs_709,Rrs_711,Rrs_712,Rrs_713,Rrs_714,Rrs_717,Rrs_719
10,235621,1139,2024-06-15,26.367,26.382,-82.151,-82.173,26.3745,-82.162,9.9,6.0,195.0,30.0,79.1,,,,100.0,,,5.5,9.0,,29.41,29.41,29.41,35.05,35.05,35.05,,,,5.9,5.9,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,235622,1139,2024-06-15,26.083,26.084,-82.014,-82.042,26.0835,-82.028,14.1,7.4,275.0,30.0,54.5,,,,,,,7.0,13.0,,29.29,29.29,29.34,35.7,35.71,35.77,,,,5.6,5.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,235623,1139,2024-06-15,25.969,25.994,-82.031,-82.034,25.9815,-82.0325,17.2,4.1,179.0,30.0,41.1,,,,,,,8.0,15.0,,29.01,29.04,29.5,35.66,35.68,36.0,,,,5.9,5.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,235624,1139,2024-06-15,25.839,25.864,-82.129,-82.128,25.8515,-82.1285,20.8,8.2,107.0,30.0,49.3,,,,,,,10.5,19.0,,29.2,29.22,29.22,36.2,36.2,36.2,,,,5.7,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,235625,1139,2024-06-15,25.974,25.994,-82.424,-82.44,25.984,-82.432,28.7,11.5,143.0,30.0,393.3,,,,100.0,11.0,,13.0,24.0,,29.1,29.12,29.11,36.34,36.34,36.34,,,,5.8,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,235626,1139,2024-06-15,26.275,26.3,-82.546,-82.552,26.2875,-82.549,25.4,6.1,187.0,30.0,133.1,,,,100.0,19.0,,13.0,23.0,,29.44,29.38,29.38,36.34,36.35,36.35,,,,5.9,5.9,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,235627,1139,2024-06-15,26.313,26.337,-82.807,-82.8,26.325,-82.8035,33.3,13.2,225.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,235628,1139,2024-06-15,26.244,26.268,-82.97,-82.967,26.256,-82.9685,41.0,9.4,143.0,30.0,72.5,,,,100.0,22.0,,21.0,39.0,,28.82,28.66,26.28,36.33,36.4,36.47,,,,6.0,6.1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,235629,1139,2024-06-16,26.294,26.299,-83.085,-83.112,26.2965,-83.0985,46.6,7.3,152.0,30.0,380.2,,,,100.0,,,22.5,43.0,,28.71,27.02,25.8,36.3,36.55,36.48,,,,6.0,6.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,235630,1139,2024-06-16,26.023,26.044,-83.216,-83.231,26.0335,-83.2235,53.0,14.8,130.0,30.0,25.1,,,,100.0,,,26.5,51.0,,28.89,25.68,24.82,36.44,36.5,36.46,,,,5.9,6.7,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,235631,1139,2024-06-16,25.661,25.684,-83.083,-83.093,25.6725,-83.088,55.4,12.2,102.0,30.0,134.5,,,,,,,28.0,55.0,,28.49,28.29,24.95,36.45,36.46,36.46,,,,5.9,6.1,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,235632,1139,2024-06-16,25.295,25.302,-83.034,-83.06,25.2985,-83.047,56.1,9.9,409.0,30.0,90.1,,,,100.0,24.0,,29.5,57.0,,28.51,27.31,24.63,36.19,36.49,36.46,,,,5.9,6.3,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,235633,1139,2024-06-16,25.178,25.183,-83.0,-83.027,25.1805,-83.0135,54.3,13.0,87.0,30.0,60.2,,,,100.0,22.0,,29.0,55.0,,28.38,27.66,24.89,36.02,36.46,36.46,,,,5.9,6.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,235634,1139,2024-06-16,25.168,25.154,-82.792,-82.814,25.161,-82.803,45.0,13.4,96.0,30.0,84.8,,,,100.0,27.0,,19.5,36.0,,28.3,28.29,26.5,36.0,36.33,36.51,,,,6.0,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,235635,1139,2024-06-16,25.228,25.233,-82.696,-82.723,25.2305,-82.7095,41.3,13.1,102.0,30.0,60.4,,,,75.0,25.0,,19.5,35.0,,28.29,28.26,27.16,36.01,36.13,36.53,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,235636,1139,2024-06-16,25.302,25.316,-82.511,-82.534,25.309,-82.5225,33.5,14.4,122.0,30.0,87.5,,,,50.0,21.0,,16.5,30.0,,28.75,28.69,28.4,36.25,36.25,36.58,,,,5.9,6.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,235637,1139,2024-06-17,25.386,25.407,-82.281,-82.267,25.3965,-82.274,25.6,15.0,130.0,30.0,88.9,,,,75.0,,,13.5,24.0,,29.05,29.06,29.06,36.31,36.31,36.33,,,,5.9,6.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,235638,1139,2024-06-17,25.341,25.329,-82.104,-82.128,25.335,-82.116,21.9,11.7,104.0,30.0,77.8,,,,50.0,,,11.5,20.0,,29.08,29.08,29.09,36.45,36.45,36.45,,,,5.9,5.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,235639,1139,2024-06-17,25.259,25.261,-81.967,-81.995,25.26,-81.981,20.1,14.9,285.0,30.0,179.1,,,,,,,9.5,18.0,,29.1,29.11,29.11,36.34,36.34,36.34,,,,5.9,5.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,235640,1139,2024-06-17,25.214,25.214,-81.883,-81.91,25.214,-81.8965,17.9,9.7,83.0,30.0,213.0,,,,,,,10.0,17.0,,29.27,29.28,29.28,36.53,36.53,36.53,,,,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,235641,1139,2024-06-17,25.344,25.319,-81.903,-81.903,25.3315,-81.903,18.5,10.9,76.0,30.0,264.2,,,,,,,9.5,17.0,,29.17,29.18,29.18,36.4,36.4,36.4,,,,5.8,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,235642,1139,2024-06-17,25.482,25.48,-81.939,-81.966,25.481,-81.9525,18.5,15.8,270.0,30.0,48.9,,,,100.0,7.0,,9.5,17.0,,29.13,29.14,29.14,36.35,36.35,36.35,,,,5.9,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,235643,1139,2024-06-17,25.482,25.46,-81.646,-81.66,25.471,-81.653,12.4,12.0,88.0,30.0,187.4,,,,75.0,9.0,,6.5,11.0,,29.29,29.25,29.24,36.46,36.46,36.46,,,,5.8,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,235644,1139,2024-06-17,25.241,25.234,-81.611,-81.638,25.2375,-81.6245,12.1,10.0,76.0,30.0,234.9,,,,75.0,9.0,,6.5,11.0,,29.46,29.44,29.45,36.7,36.7,36.7,,,,5.8,5.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,235645,1139,2024-06-17,25.021,25.021,-81.754,-81.782,25.021,-81.768,14.4,11.7,88.0,30.0,11.1,,,,100.0,6.0,,8.5,14.0,,29.54,29.53,29.53,36.7,36.7,36.7,,,,5.8,5.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,235646,1139,2024-06-17,25.003,25.005,-81.948,-81.976,25.004,-81.962,19.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,235647,1140,2024-07-26,29.845,29.87,-87.479,-87.479,29.8575,-87.479,33.1,8.7,115.0,30.0,1.9,,,,50.0,18.0,,16.5,31.0,,30.9,29.4,26.4,30.65,35.03,36.51,,,,6.7,6.4,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
